No.|Class|Condition|Contents|Measure|Release|Teach|Auto|Teach|Auto|Teach|Auto
28|Amplifier unit failure|Low voltage of motor power|This failure occurs when the Motor power supply voltage(P-N) are lower than regular setting level.|(1)Check the connection of CNRST on the front of drive unit correctly.  (2)Check that a primary voltage of the controller is within the specification. (3) Replace a power unit. (4)Replace the drive unit.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
29|Encoder failure|Encoder absolute data error|Error occurs when fault is detected in the encoder.|(1)Check if the encoder power supply voltage is normal or not (Refer to "CONTROLLER MAINTENANCE MANUAL"). (2)Please reset the encoder. (3)Check encoder wiring. (4)Replace the motor or the encoder.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
30|Encoder failure|Encoder absolute data failure|This failure occurs when an absolote data fault is detected inside the encoder.|(1)Please turn OFF the controller power. (2)Please replace the motor or the encoder. (3)Please check the power supply voltage of the encoder refering to "CONTROLLER MAINTENANCE MANUAL". (4)Please check the wiring of the encoder.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
31|Encoder|Motor rotation too fast|This failure occurs if at the time of|(1)Please check the power supply voltage of the|After removal of|E|E|E|E|on|on
32|Servo failure|Over current|This failure occurs when the current in the drive unit exceeds the rated value.|(1)Please check whether the robot manipulator interferes with something. (2)Please check that the Pay-load is within the nominal rating. (3)Check if the concerned axis is hard to move by using brake release function. (4)Please check the connectors CNP1-8, CNBK1, CNBK2,and CNSW. (5)Please replace the drive unit. (6)Please replace the motorof the concerned axis. (7)Please check the internal wiring of the robot. (motor current U,V,W and brake control line) (8) Please check the control cables (wire-harnesses) between the controller and the robot manipulator. (9)Please adjust the over current detection level ("Peak Amps error")(external axis).|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
33|Servo failure|Synchronous failure of servo command.|Synchronous failure of servo command occurred in servo system.|If error persists, Contact our service department.|Error reset.|E|E|E|E|on|on
37|Encoder failure|Over temperature of encoder|This failure occurs when the encoder temperature rises abnormally.|(1)Please confirm that the Pay-load is within the nominal rating. (2)Please stop the robot in order to lowering the motor temperature, and restart. (3)If failure persists, please lower the operation speed of the robot. (4) Please exchange motor and encoder.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
38|Servo failure|Over load|This failure occurs when the current in the motor or drive unit exceeds the rated value.|(1)Please check whether the robot manipulator interferes with something. (2)Please check that the Pay-load is within the nominal rating. (3)Check if the concerned axis is hard to move by using brake release function. (4)Please check the connectors CNP1-8, CNBK1,CNBK2, or CNSW on the drive unit. (5)Please replace the drive unit. (6)Please replace the concerned motor. (7)Please check the internal wiring of the robot. (motor current U,V,W and brake control line). (8)Please check the control cables (wire-harnesses) between the controller and the robot manipulator. (9)Please adjust the over load detection level ("Overload error") (external axis).|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
39|Servo failure|Over rotation|This failure occurs when the number of rotations of motors exceeds a maximum rotation speed limit.|(1)Please check whether the robot manipulator interferes with something. (2)Please check whether the setting of the Pay-load and center of gravity are correct. (3)Check if the concerned axis is hard to move by using brake release function. (4)Please replace the motor or the encoder. (5)Please replace the drive unit. (6)Please replace the manipulator wirings.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
40|TP failure|The abnormalities in CPU in a T/P|CPU built in the teach pendant stopped.|Please check whether there are any abnormalities in the T/P and the connection cable. Please turn OFF and ON the main power supply. Please replace the T/P, when an error still comes out.|Turn on the power again.|E|E|E|E|on|on
42|Amplifier unit failure|Over temperature of motor|This failure occurs when the motor temperature rises abnormally.|(1)Please check that the Pay-load is within the nominal rating. (2)Please check the wiring of the motor thermostat refering to "CONTROLLER MAINTENANCE MANUAL" and "MANIPULATOR MANUAL". (3)Please check the connector CNBK2 on the drive unit. (4)Please stop the robot in order to lowering the motor temperature, and restart. (5)If the failure persists, please lower the operation speed of the robot or add a DELAY function (FN50) in the program to lower the duty.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
43|Amplifier unit failure|Over speed|This failure occurs when the rotation speed of motors is abnormal.|(1)Please check whether the connector CNEC1/CNEC2/CN78E on the servo board UM351 (L21700X00) are correctly connected. (2)Please replace the drive unit. (3)Please replace the motor or the encoder. (4)Please check the manipulator wirings and the control cables (wire-harness) between the controller and the manipulator referring to "MANIPULATOR MANUAL".|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
44|Amplifier unit failure|Over voltage of motor power|This failure occurs when the Motor power supply voltage(P-N) are higher than regular setting level.|(1)Please check whether CNR is correctly connected. (2)Please check the discharge register(5-ohm or 30-ohm) (3)Please replace the drive unit.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
46|Amplifier unit failure|Over temperature of regenerative discharge resister|This failure occurs when the temperature of the regenerative discharge resister rises abnormally.|(1)Check if the fans are operating. (2)Please check the wiring of the sensor. (3)Please replace the discharge register. (4)Please replace the drive unit. (5)Please check the voltage of the 24V power supply. (6)Please replace the multi power supply unit. (7)If the failure persists, please lower the operation speed of the robot or add a DELAY function (FN50) in the program to lower the duty.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
50|Encoder failure|Encoder counter overflow/underflow|This failure occurs when the counter overflow/underflow occured inside the encoder unit.|(1)Please turn ON the power supply of the controller again. (2)Please replace the motor or the encoder. (3)Please check the power supply voltage of the encoder refering to "CONTROLLER MAINTENANCE MANUAL". (4)Please check the wiring of the encoder.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
51|Servo failure|Encoder data transmission failure|This failure occurs when the communication data with the encoder is abnormal or the encoder has been disconnected.|(1)Please check whether the connectors CNEC1/CNEC2/CN78E on the servo board UM351 (L21700X) are correctly connected. (2)Please check whether the CNR4 or CN2 is correctly connected. And check the damages on them. (3)Please confirm the power supply voltage of the encoder. (4)Please replace the drive unit. (5)Please replace the motor or the encoder. (6)Please check the manipulator wirings and the control cables (wire-harness) between the controller and the manipulator referring to "MANIPULATOR MANUAL".|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
52|Encoder failure|Encoder battery charge low|This failure occurs when the voltage of the battery in the encoder has decreased.|(1)Reset the encoder and turn on power supply of the controller again.(2)Confirm battery of abnormal axis. (3)Please confirm battery voltage(up to 3.6V).|After removal of failure, please turn ON power|E|E|E|E|on|on
53|Servo failure|Invalid encoder type|This failure occurs when the invalid encoder type is selected.|Please check [Mechine Constants] [Motor and Encoder][Encoder type].|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
54|Servo failure|Encoder data abnormal|This failure occurs when the change of the encoder data is abnormal.|(1)Please check the supply voltage of the encoder refering to "CONTROLLER MAINTENANCE MANUAL". (2)Please check the wiring of the encoder.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
55|Encoder failure|Motor rotation too fast when power off|Because the motor had been rotated at high speed when the power off, it became impossible to detect the the absolute amount of the encoder rotation correctly. (This detection is done inside the encoder unit and the error status is sent to the controller.)|(1)Please reset the encoder and turn on power supply of the controller again.(2)Please replace motor and encoder. (3)Please check the wiring of the encoder. (4)Please check the supply voltage of the encoder refering to "CONTROLLER MAINTENANCE MANUAL". (5)Please replace the drive unit. (6)Please replace the multi power supply unit.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
57|Encoder failure|Encoder count status failure|This failure occurs when the Encoder data(absolute) is abnormal.|(1)Please reset the encoder and turn on power supply of the controller again. (2)Please replace the motor or the encoder. (3)Please check the wiring of the encoder. (4)Please check the supply voltage of the encoder refering to "CONTROLLER MAINTENANCE MANUAL". (5)Please replace the drive unit. (6)Please replace the multi power supply unit.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
59|Control failure|Can't follow conveyer speed.|Error occurs when the robot system can not perform its task at the current conveyer speed.|Reduce the speed of the conveyer, or check the connection of conveyer pulse line.|Error reset.|E|E|E|E|on|on
62|Control failure|Emergency stop was shortly input or Magnetic SW was cut off.|This error occurs when it has a condition that communication cable, connection of Emergency stop, Mode select signals(Teach/Play) or Safety plug is open or poor connection.|(1)Please check the wiring of the emergency-stop, the mode selector switch, and the safety plug. (2)Please replace the sequence board (UM352(L21700F00)).|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
63|CPU board failure|Controller temperature fault.|Error occurs when the temperature of the core of the controller becomes abnormality high.|Check the fans are operating, or clean up the heat exchanger.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
64|Amplifier unit failure|Drive unit power failure|This failure occurs when drive unit power VP15(+15V) was not supplied.|Replace the drive unit.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
65|Amplifier unit failure|Over travel limit switch activated|This failure occurs when an axis reaches the end of its travel and actuates an Over travel limit switch (LS).|(1) If there is no LS that is being pushed phisically, the wirings for the LS may be broken. (2) If the LS is physically being actuated, then move the manipulator towards the normal motion range by the teach pendant operation in the setting screen of "software-limit". (3) Replace the drive unit.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
66|Amplifier unit failure|Low voltage of brake power|This failure occurs when brake power supply PB decreases.|(1)Please confirm the cables of CNBKP-CNPB(drive unit). (2)Please replace the drive unit.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
72|Amplifier unit failure|Drive unit IPM failure|This failure occurs when current of power module (IPM) in the drive unit flows more than permitted range.|(1)Please confirm internal wirings and the cable between the controller and the robot manipulator.(2)Please replace the drive unit.(3)Please replace the abnormal motor.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
74|Amplifier unit failure|Motor regeneration circuit fault|This failure occurs when the regenerative discharge circuit is disconnected (broken) by large current or heat.|(1)Please check whether the CNR connector of the drive unit is connected or not. (2)Please check the wiring of the discharge resistor. (3)Please check the resistance of the discharge resistor 5 ohm / 3 ohm.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
75|Amplifier unit failure|Error of brake control circuit|The breakdown was detected in brake control circuit (relay, diode),or break release switches was used just after the motor-off sequence. Please do not release the brake, so that there is danger to which the arm falls.|Please replace the Drive Unit.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
78|CPU board failure|CPU bord power fault.|This error occurs when the power supply for the CPU is out of the range of 3.3V +/- 10%.|(1)Check the 5V supply voltage of multi power supply unit. For details, refer to "CONTROLLER MAINTENANCE MANUAL". (2)Please replace the multi power supply unit. (3)Please replace the CPU board.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
79|CPU board failure|CPU bord temperature fault.|This error occurs when the temperature of the CPU becomes 65 degree or more.|(1)Check the cooling fans on the rack unit are operating. (2)Clean up the cooling fans.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
80|CPU board failure|CPU bord power fault.|This error occurs when the power supply voltage for the CPU becomes +10% (higher) or -6%(lower) from the rated voltage.|(1)Check the 5V supply voltage of multi power supply unit. For details, refer to "CONTROLLER MAINTENANCE MANUAL". (2)Please replace the multi power supply unit. (3)Please replace the CPU board.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
81|CPU board failure|CPU board battery failure|This error occurs when the voltage of battery on the CPU bord has decreased.|(1)Please exchange the battery. Then, (2)Please set up the date correctly.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
99|Operation al failure|5th axis operating range exceeded.|Error occurs when 5th-axis moves out of its Operating range. Operating range can be exceeded when the 5th-axis(and 6th-axis) is moved via the rotation of the 4th-axis.|Select [Constants][Machine constants] and use the correct axis operation keys to move back into the 5th-axis Operating range. Warning! damage can occur if 5th-axis hits arm 1.|No reset operations neccesary.|A|E|A|E|on|on
105|Control|Ext. Motors-off' signal|Error occurs when Motors-ON|Ensure that Motors-OFF is not being given when|After removal of|E|E|E|E|on|on
106|Operation al failure|The motors are not ON.|The motors are not ON.|Turn motors ON by pressing the Motor-ON button.|No reset operations neccesary.|I|A|I|A|on|on
116|TP failure|TP connect failure|It becomes this failure when TP isn't connected and a cable is out.|Connect TP properly. Exchange106|Operation al failure|The motors are not ON.|The motors are not ON.|Turn motors ON by pressing the Motor-ON button.|No reset operations neccesary.|I|A|I|A|on|on TP when it is out.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
117|TP failure|TP connect failure|This error occurs when TP is connected after the control power supply is turned on.|Connect TP properly. Exchange TP when it is out.|Turn on the power again.|E|E|E|E|on|on
118|TP failure|The teach pendant reception is abnormal.|Abnormality was detected by the key notification reception from teach pendant.|Please confirm whether there is something that it is possible to become a noise source in the vicinity of teach pendant and the cable.|Error reset.|A|A|A|A|on|on
119|TP failure|The T/P connection is abnormal.|Abnormality was detected by the sending and receiving processing from the T/P.|Please confirm whether there is something that it is possible to become a noise source in the vicinity of the T/P and the cable.|Error reset.|A|A|A|A|on|on
121|Operation al failure|The robot's joint angle exceeded the software stroke range.|It will become this error if a robot joint angle reaches the software stroke range.|Please move to software stroke within the limits by manual operation (each axis).|Error reset.|A|E|A|E|on|on
122|Servo failure|The robot's joint angle exceeded the software stroke range.(Current position)|It will become this error if a robot joint angle reaches the software stroke range.(Current position)|Please motor power on in machine constant/software limit at the EXPERT level and move to software stroke within the limit by manual operation. Please turn on the motor as it is, when error occurred only with the axis without brakes.|Error reset.|E|E|E|E|on|on
129|Operation al failure|The angle which an arm makes is too large.|The 1st arm and the 2nd arm may cause interference with a position.|Please move in the direction where interference does not take place by manual operation.|Error reset.|A|E|A|E|on|on
130|Operation al failure|The angle which an arm makes is too small.|The 1st arm and the 2nd arm may cause interference with a position.|Please move in the direction where interference does not take place by manual operation.|Error reset.|A|E|A|E|on|on
131|Control failure|Collision sensor actuated.|Error occurs when a signal is received from the collision sensor.|Remove obstruction, check condition of the tool, reset the collision sensor, and restart robot.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
132|Operation al failure|The robot's joint angle exceeded the link software stroke range.|It will become this error if a robot joint angle reaches the link software stroke range.|Please move to link software stroke within the limits by manual operation (each axis).|Error reset.|A|E|A|E|on|on
177|Emergency stop failure|Primary power supply fault.|Error occurs when the Power supply unit detects that primary power is below nominal level.|Check the status of the Primary(mains) power supply.|Error reset.|E|E|E|E|on|on
243|Operation al failure|Designated command position exceeds Robot operating area.|Error occurs when a shift function, etc. tries to send the robot out of the robot operating area.|Correct the program.|No reset operations neccesary.|A|E|A|E|on|on
244|Operation al failure|Danger of Robot interference.|Robot wrist may interfere with under the part of manipulator body.|Correct the program.|No reset operations neccesary.|A|E|A|E|on|on
245|Operation al failure|The bend direction of J3 axis is different, interpolation cannot be continued.|The bend direction of J3 axis is different at the starting point and the terminal point.|Please correct the angle of J3 axis to the same direction.|After removal of failure, please carry out "failure-reset".|A|E|A|E|on|on
246|Operation al failure|Wrist posture calculation fault. Please insert the middle step.|When the posture is calculated, this error occurs when the wrist goes the inverse direction from teaching position.|Please insert the step in the middle so that the change amount of the wrist axis in one step may become small. Please reduce the accuracy in the step before and after the error's occurring.|No reset operations neccesary.|A|E|A|E|on|on
247|Operation al failure|There is a tool which exceeds rating.|Because tool center of gravity or tool weight has exceeded rating, it becomes medium speed playback.|(1)Please execute automatic tool center of gravity setting.(2)Please verify whether the tool has not exceeded rating.(3)When the tool has exceeded rating, please make sure to be settled inside rating.|No reset operations neccesary.|I|I|I|I|on|on
248||The gravity bend revision quantity is too big.|The flexion it tried to revise, but the revision quantity exceeded error inspection angle.|Please take a second look tool setting. Center of gravity of the tool or mass of the tool, occur when it is large. Please execute Automatic COG setting.|No reset operations neccesary.|A|E|A|E|on|on
250|Operation al failure|Controller cannot make trajectory at the J1 singular area.|When the robot moves by the linear/circle interpolation, the robot's wrist center point cannot pass the J1 singular area.|At the teach mode, the robot's wrist center point moves from the J1 singular area by joint jog operation. At the playback mode, please modify the teach point and/or change for the joint interpolation.|No reset operations neccesary.|A|E|A|E|on|on
251|Operation al failure|The bend direction of J4 axis is different, interpolation cannot be continued.|The direction of J5 arm is different more than 180 degrees at the starting point and the terminal point.|Please correct the angle of J4 axis so that the direction of J5 arm becomes less than 180 degrees.|After removal of failure, please carry out "failure-reset".|A|E|A|E|on|on
257|Operation al failure|Pose calculation failed.|This error occurs when all axis angles can not be calculated in robot language file.|Check pose data.|No reset operations neccesary.|E|E|E|E|on|on
270|Control failure|Conveyer motion during test .|Error occurs when the conveyer running signal is detected during executing a program in Conveyer simulation or test mode.|Stop the conveyer, reset, and restart test.|Error reset.|E|E|E|E|on|on
271|Control failure|Conveyer pulses exceeded limit.|Error occurs when the number of conveyer pulses exceeds 10KHz.|Check that the pulse generator is functioning correctly.|Error reset.|E|E|E|E|on|on
367|PLC failure|The error was detected by Built-in PLC.|It becomes this error when Built-in PLC detects an error.|Check the environment of Built-in PLC of operation.|Unusual reset is carried out after changing Built-in PLC into a starting state.|E|E|E|E|on|on
379|Control failure|Safety plug is not inserted or the state of safety plug signal has changed in teach mode.|This error occurs when a Motors ON command(button) is given in Auto mode when the Safety plug is not inserted or the state of safety plug signal has changed in teach mode.|Insert the Safety plug in Auto mode.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
493|Operation al failure|Compound motion limit over.|| J5 axis | + | J6 axis | exceeded limit value.|Please move to the limit by manual operation (each axis).When it cannot move, at the [Constants][Machine constants][Software limit] please try again.|No reset operations neccesary.|A|E|A|E|on|on
494|Operation al failure|Over movable area of ATRAC4 flat type.|Compound motion J5 and J6 of ATRAC4 flat type over movable area.|Please move to the limit by manual operation (each axis).When it cannot move, at the [Constants][Machine constants][Software limit] please try again.|No reset operations neccesary.|A|E|A|E|on|on
550|PLC|It is scan time over of|It detects, when the scanning time|Correct Ladder program.|An error will be|E|E|E|E|on|on
582|Vision sensor failure|Vision sensor not connected.|It detects, when the vision sensor is not connected.|Correct vision sensor connection line.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
659|TP failure|Teach pendant touch panel error.|Error occurs if at the time of turning power ON, the touch panel of teach pendant is pushed.|Touch panel is not touched for turn power ON again. If error persists change the Teach pendant.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
674|Spot weld failure|Welder communication fault(No reply).|Error occurs when the welder board is not correctly connected, or backup files are incorrect.|(1)Check power supply of the welder and communication cables, and power ON again. (2)Initialize welder data.|Error reset.|A|A|A|A|on|on
675|Spot weld failure|Welder communication fault(Check sum).|Error occurs when received data from the welder board is abnormal.|Check power supply of the welder and communication cables, and power ON again.|Error reset.|A|A|A|A|on|on
676|Spot weld failure|Welder communication fault(Message wrong).|Error occurs when received data from the welder board is abnormal.|Check power supply of the welder and communication cables, and power ON again.|Error reset.|A|A|A|A|on|on
677|Spot weld failure|Major Welder fault.|Error occurs when the welder board generate the weld fault.|Remove the cause of weld fault.|Error reset.|E|E|E|E|on|on
694|Spot weld failure|Executive EPROM checksum error.|Error occurs when a system software checksum error of welder timer substrate is detected.|Install the system software once more.|Turn on the power again.|E|E|E|E|on|on
695|Spot weld failure|LCA EPROM checksum error.|Error occurs when a system software checksum error of welder timer substrate is detected.|Install the system software once more.|Turn on the power again.|E|E|E|E|on|on
696|Spot weld failure|Application EPROM checksum error.|Error occurs when an application EPROM checksum error of welder timer substrate is detected.|Install the system software once more.|Turn on the power again.|E|E|E|E|on|on
697|Spot weld failure|DPR error.|Error occurs when a DPR error of welder timer substrate is detected.|Install the system software once more.|Turn on the power again.|E|E|E|E|on|on
704|Control failure|Invalid Conveyer register value.|Error occurs when a conveyer register value exceeded value of <Err.detect.just after playback>.|Check a conveyer pulse input circuit.|Error reset.|E|E|E|E|on|on
705|Operation al failure|The angle between 3rd axis and ground is over.|The 3rd axis tended to operate exceeding 3rd angle incline.|Please move in the direction where 3rd angle incline does not take place by manual operation.|Error reset.|A|E|A|E|on|on
727|Servo failure|Robot over temperature|This failure occurs when the temperature of the motor, the encoder, the harness, and the connector guessed from the motor current and the motor speed is abnormal.|(1)Please check that the Pay-load is within the nominal rating. (2)Please check the wiring of the motor brake refering to "MANIPULATOR MANUAL". (3)Please lower the temperature of the abnormal location, and lower the outside temperature. (4)If failure persists, please lower the operation speed of the robot.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
749|Spot weld failure|Spot Welder SCR1 thermal switch actuated.|Failure occurs when the Thermo. Temp. fault signal is received by the controller.|Check the Thermo. Temp. fault signal and the spot welding unit.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
750|Spot weld failure|Spot Welder SCR2 thermal switch actuated.|Failure occurs when the Thermo. Temp. fault signal is received by the controller.|Check the Thermo. Temp. fault signal and the spot welding unit.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
759|Spot weld failure|Isolation contact failed to pull in.|Failure occurs when the isolation contact of the welder fails to actuate correctly.|Refer to the Welder timing Manual.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
760|Spot weld failure|Isolation contact stuck close.|Failure occurs when the isolation contact of the welder fails to actuate correctly.|Refer to the Welder timing Manual.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
762|Spot weld failure|Welder board not installed.|Error occurs if the welding timer PCB does not exists in the controller when welding is attempted.|Install the welder board.|Error reset.|E|E|E|E|on|on
777|Control failure|Robot moved during Motors-ON sequence.|This error occurs when the robot moved during Motors-ON sequence.|(1)Please check the connectors CNP1-CNP5 on the drive unit. (2)Please check whether the robot manipulator interferes with something. (3)Please replace the drive unit. (4)Please replace the power unit. (5)Please replace the motor.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
783|CPU board failure|Motion stop.|This error occurs when the main CPU detects a motion stop. (This error is detected in the CPU board and the sequence board.)|(1)Please remove the CPU board and the sequence board, and insert them again. (2)If this failure persists, replace the sequence board. (3)Please replace the CPU board. (4)Please replace the system-CF for re-installing the system.|Turn on the power again.|E|E|E|E|on|on
785|CPU board failure|I/O timeout.|It becomes this error when main CPU detects a I/O system stop.|Turn on the power again. If the error is not released, reinstall the system.|Turn on the power again.|E|E|E|E|on|on
787|CPU board failure|Watchdog Timeout Error.|This error occurs when the Watchdog Circuit detects a motion stop.|(1)Turn ON the power again. Please confirm the error is released. (2)Please enlarge "Interpolation Cycle Time". (3)Please remove the CPU board or the sequence board (UM352(L21700F00)) and install them again.|Turn on the power again.|E|E|E|E|on|on
788|CPU board failure|Movement too large in Compliance control.|Error occurs when movement by an external force is too large while in Compliance control.|Check the condition of the Compliance control performance.|Check the constants of the Compliance control function.|E|E|E|E|on|on
789|CPU board failure|CPU error.|It becomes this error when an CPU error occurs in CPU board.|(1)Turn on the power again. Please confirm the error is released.(2)Please insert a CPU board firmly again.(3)When the phenomenon recurs, please inform our service section.|Turn on the power again.|E|E|E|E|on|on
895|Control failure|Conveyer not running.|Error occurs when conveyer pulse never changes more than 1 second, after start LS is given.|Check the conveyor is functioning. Or check the wiring between Pulse Generator and AX controller.|Error reset.|E|E|E|E|on|on
897|Control failure|Too little conveyer pulse counted.|Error occurs when a After conveyer start LS is input, though it was passed <Conv.pulse check start time>, when it is short of value of <Conv.pulse error check> value.|Separate input timing of a starting command from conveyer start LS signal.|Error reset.|E|E|E|E|on|on
898|Servo failure|Servo command stop|This failure occurs when the update of the command value transmitted to the servo stops during a certain time.|Please refer to the troubleshooting of the controller maintenance manual.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
902|Amplifier unit failure|serveo clock halted|This failure occurs when the clock of servo board UM351(L21700X00) halted.|(1)Please confirm the supply voltage of the servo board UM351(L21700X00). (2)Please replace the drive unit.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
